country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality
Portugal,2008,5.716966629,10.23088932,0.885925412,68.83002472,0.646464109,-0.226356059,0.932685852,0.70293057,0.309280723,0.339916795,1.080005884
Portugal,2010,5.094525814,10.21805191,0.863906741,69.27043152,0.721036375,-0.114983819,0.947879434,0.741612136,0.265107363,0.263269573,0.90041858
Portugal,2011,5.219997883,10.20108604,0.855960667,70.53607178,0.875092566,-0.18183066,0.961977124,0.725109041,0.279200882,0.20997645,0.909850717
Portugal,2012,4.993962288,10.1640234,0.86603862,70.45056152,0.773821414,-0.10559462,0.959288418,0.728934467,0.370169967,0.230625153,0.877238929
Portugal,2013,5.157688141,10.1581459,0.867180824,70.45056152,0.78803277,-0.126758531,0.946257353,0.699667215,0.347898155,0.17921339,0.885020792
Portugal,2014,5.12691164,10.17290783,0.86182946,70.45056152,0.846810102,-0.134934276,0.94107008,0.705072284,0.357692271,0.227394462,0.951042652
Romania,2007,5.393723965,9.730790138,0.736480415,64.72089386,0.685747743,-0.192238793,0.948706627,0.644177675,0.27662608,0.199743554,0.337379247
Romania,2009,5.367565155,9.763697624,0.812449574,65.38437653,0.60582763,-0.199229568,0.96679461,0.548347473,0.270051271,0.231964737,0.405357242
Romania,2010,4.909165859,9.761620522,0.689065635,65.51707458,0.565536737,-0.089962333,0.973686337,0.596489191,0.34447822,0.093852684,0.334429085
Romania,2011,5.02275753,9.777046204,0.752606809,66.50250244,0.650402188,-0.144491687,0.964042604,0.542729139,0.294461548,0.116410844,0.266995907
Romania,2012,5.166874886,9.787887573,0.740043104,66.41331482,0.644536138,-0.115293927,0.959486127,0.555993974,0.342614621,0.236376286,0.184784234
Romania,2013,5.081584454,9.826307297,0.777552068,66.41331482,0.654542148,-0.133292794,0.95184356,0.639820933,0.32861948,0.241623357,0.227641255
